code,name,orgId
000001,平安银行,gssz0000001
000002,万科A,gssz0000002
000006,深振业A,gssz0000006
000007,全新好,gssz0000007
000008,神州高铁,gssz0000008
000009,中国宝安,gssz0000009
000010,美丽生态,gssz0000010
000011,深物业A,gssz0000011
000012,南玻A,gssz0000012
000014,沙河股份,gssz0000014
000016,深康佳A,gssz0000016
000017,深中华A,gssz0000017
000018,神城A退,gssz0000018
000019,深粮控股,gssz0000019
000020,深华发A,gssz0000020
000021,深科技,gssz0000021
000022,深赤湾A,gssz0000022
000023,深天地A,gssz0000023
000024,招商地产,gssz0000024
000025,特力A,gssz0000025
000026,飞亚达,gssz0000026
000027,深圳能源,gssz0000027
000028,国药一致,gssz0000028
000029,深深房A,gssz0000029
000030,富奥股份,gssz0000030
000031,大悦城,gssz0000031
000032,深桑达A,gssz0000032
000033,新都退,gssz0000033
000034,神州数码,gssz0000034
000035,中国天楹,gssz0000035
000036,华联控股,gssz0000036
000037,深南电A,gssz0000037
000039,中集集团,gssz0000039
000040,东旭蓝天,gssz0000040
000042,中洲控股,gssz0000042
000043,中航善达,gssz0000043
000045,深纺织A,gssz0000045
000046,泛海控股,gssz0000046
000048,京基智农,gssz0000048
000049,德赛电池,gssz0000049
000050,深天马A,gssz0000050
000055,方大集团,gssz0000055
000056,皇庭国际,gssz0000056
000058,深赛格,gssz0000058
000059,华锦股份,gssz0000059
000060,中金岭南,gssz0000060
000061,农产品,gssz0000061
000062,深圳华强,gssz0000062
000063,中兴通讯,gssz0000063
000065,北方国际,gssz0000065
000066,中国长城,gssz0000066
000068,华控赛格,gssz0000068
000069,华侨城A,gssz0000069
000070,特发信息,gssz0000070
000078,海王生物,gssz0000078
000088,盐田港,gssz0000088
000089,深圳机场,gssz0000089
000090,天健集团,gssz0000090
000096,广聚能源,gssz0000096
000099,中信海直,gssz0000099
000100,TCL科技,gssz0000100
000151,中成股份,gssz0000151
000153,丰原药业,gssz0000153
000155,川能动力,gssz0000155
000156,华数传媒,gssz0000156
000157,中联重科,gssz0000157
000158,常山北明,gssz0000158
000159,国际实业,gssz0000159
000166,申万宏源,qsgn0000301
000301,东方盛虹,gssz0000301
